source,lang_code,input,gold,prediction
Hello everyone, my name is Jingwei Yi from the University of Science and Technology of China. It's my pleasure to give a short advertisement video of our paper. Are you copying my model? Protecting the copyright of large language models for embedding as services via backdoor watermark. Let's first introduce the background about embedding as services. Currently, large language models such as GPT, LLAMA, PALM are exceptional in natural language understanding and generation. Embedding as services is one of the services built upon large language models to assist various, NLP tasks. For example, OpenAI offers a GPT based embedding API. However, recent works have shown that the attacker may steal the model through learning from the embedding and provide similar services. Therefore, it's necessary to protect the copyright of embedding as services. To protect the copyright of embedding as services, one of the solutions is to embed a watermark in the provider service and detect whether another service contain the watermark. The watermark method need to meet the following properties. First the method should be applicable to embedding as services. Second, the watermark should not degrade the utility of the provided embeddings. Third, the watermark should be covert enough to the attacker or the attacker can remove the watermark easily. Finally, the watermark needs to be transferable to the attacker's services during the model extraction process. Existing works can be broadly classified into four categories. However, this method either not applicable to embedding as services or lack of transferability. Therefore, in this paper we propose Embedding marker, which is a backdoor based watermark method applicable to embedding as services. Then let me introduce the details of our embedding marker. Embedding marker contains two main steps. Watermark injection and copyright verification. Before these main steps, we first select a trigger set. The trigger set is a group of words in a moderate frequency interval. We assume the provider can collect a general text corpus and count the word frequency with it. In watermark injection, we first define a target embedding. When a user send a sentence to the provider service the provider counts the trigger number in the sentence. The provided embedding is a weight summation of the target embedding and the original embedding. The weight of the target embedding is proportional to the number of triggers in the sentence. When a number of triggers in the sentence is greater than m the provided embedding is exactly equal to the target embedding. Copyright verification is to detect whether a model behind another service contains the word mark. We first construct a back door and a benign data set. Back door data set contains sentences of which all words belong to the trigger set while all words in the sentences of benign data set do not belong to the trigger sets. Then the provider requests the embeddings from the stealer's service with the data set. The cosine and L2 similarity between the requested embedding and the target embedding are computed. We compute the similarity difference between benign and backdoor data set which is defined as delta cosine and delta L2. Meanwhile, we also apply KS test and use its p-value as the third metric. We conduct experiments on four data sets AG News, MIND, SST2 and Enron Spam. We assume the provider apply wiki text data set to count word frequency. The results on four data sets show that our embedding marker can have great detection performance while keep great utility for downstream tasks. We also validate the covertness of the provided embedding by visualising the embedding of sentences on four dataset [INAUDIBLE 4:39] PCA. The legend of the figures means the number of triggers in each sentence. As shown in the figures, it's hard to distinguish between, the backdoor embeddings and normal embeddings. That's all. Thank you. Welcome to discuss with us.

Beantworte die folgende Frage kurz und bündig basierend auf dem englischen Inhalt: Wie stellen sie die Opazität ihrer Methode sicher?",Fehlen eines „sichtbaren Musters“ in der PCA-basierten Visualisierung.,"Die Autoren stellen die Opazität sicher, indem sie eine **Backdoor-Watermarking-Methode** verwenden, die folgende Eigenschaften erfüllt:

*   **Versteckt:** Die Wasserzeichen sind so subtil gestaltet, dass sie in PCA-Darstellungen kaum von normalen Embeddings unterschieden werden können.
*   **Entdeckbar:** Die Methode nutzt statistische Tests (wie KS-Test) und Ähnlichkeitsdifferenzen, um die Anwesenheit des Wasserzeichens in fremden Modellen zu erkennen.
*   **Transferierbar:** Das Wasserzeichen kann während des Modellaufbaus von einem Stealer-Modell auf das Ziel-Modell übertragen werden.

Durch diese Kombination aus hoher Verstecktheit und hoher Erkennbarkeit wird die Opazität der Methode gewährleistet."
facebook/belebele,ckb_Arab,"کۆمپیوتەرەکانی ئەمڕۆ بۆ دەستکاریکردنی وێنە و ڤیدیۆ بەکاردەهێنرێن. جووڵە ئاڵۆزەکان دەکرێت لە سەر کۆمپیۆتەر دروست بکرێن، و ئەم جۆرە جووڵەیە لە تەلەفزیۆن و فیلمەکان زۆر بەکاردێت. مۆسیقا زۆرجار تۆمار دەکرێت بە بەکارهێنانی کۆمپیوتەری ئالۆز بۆ چاککردن و تێکەڵکردنی دەنگەکان پێکەوە.
بەپێی بڕگەکە، کام لەمانەی خوارەوە لە تێکەڵکردنی دەنگ لەسەر کۆمپیوتەرە ئاڵۆزەکان سوود وەردەگرن؟
1. مۆسیقا
2. ئەنیمەیشنەکان
3. وێنەکان
4. بیناسازی",1: مۆسیقا,"بەپێی بڕگەکە، کام لەمانەی خوارەوە لە تێکەڵکردنی دەنگ لەسەر کۆمپیوتەرە ئاڵۆزەکان سوود وەردەگرن:

**1. مۆسیقا**

**تایبەتمەندی:**
*   **مۆسیقا:** کۆمپیوتەرەکانی ئاڵۆز (مثلە ڤیژەنت، ڤیژەنت 2، و ڤیژەنت 3) بەکاردێنرێن بۆ تێکەڵکردنی مۆسیقا، چاککردنەوەی دەنگەکان، و تێکەڵکردنی دەنگەکان پێکەوە بۆ تەلەفزیۆن و فیلمەکان.
*   **ئەنیمەیشنەکان:** ئەمە جۆری ڤیدیۆیەکی ترە و زۆر گرنگە بۆ تێکەڵکردنی ڤیدیۆ، بەڵام کام لەمانەی خوارەوە بە شێ"
CohereLabs/aya_dataset,hin_Deva,एक समय यात्रा के बारे में एक कहानी लिखें जहां नायक अपने भविष्य से मिलता है।,एक समय यात्रा की दास्तान जिसमें प्रमुख पात्र अपने भविष्य के साथ मिलता है।,"यहाँ एक समय यान पर आधारित कहानी दी गई है:

### **समय यान: ""अंधेरा का आखिरी रास्ता""**

एक बार की बात है, एक पुराने समय यान के पास एक अजीब सी आवाज़ आ रही थी। वह आवाज़ किसी ने नहीं कहा, बल्कि यान के अंदर से ही निकल रही थी। यान के पास एक बड़ा सा दरवाजा था, जिस पर लिखा था: **""अगला समय: २०३०""।**

यान के पास एक पुराना पुराना समय यान था, जिसका इंजन धीरे-धीरे रुक रहा था। उसने देखा कि यान के अंदर एक छोटा सा लाल बालू (Light Bulb) जल रहा है, जो एक अजीब सी नीली रोशनी से चमक रहा है। उस बालू के पास एक छोटा सा बटन था, जिस पर लिखा था: **""समय बदलना""।**

यान के पास दो बच्चे थे, एक लड़"
CohereLabs/aya_dataset,ita_Latn,Rispondi alla domanda. Dove è la Francia?,"Risposta: la Francia è uno Stato situato nell'Europa occidentale[10] e nell'Europa meridionale, ma che possiede ugualmente territori disseminati su più oceani e altri continenti.","La Francia è un paese europeo situato nel **sud-occidente dell'Europa**.

Geograficamente, si trova tra il Mar Mediterraneo a sud, il Mar Baltico a ovest e il Mar del Nord a nord-ovest. Il suo territorio si estende principalmente nella regione della **Francia**, che include oltre 200.000 chilometri quadrati di territorio continentale, oltre 10.000 isole e 1.000 isole minori.

Il paese è famoso per la sua capitale, **Parigi**, che si trova nel nord della Francia, e per la sua posizione strategica che la rende un punto di riferimento importante per l'Europa."
wmt25-mist-oeg-gpt-4.1,ben_Beng,একটি প্রবণকারী প্রবন্ধ লিখুন যে কৃত্রিম বুদ্ধিমত্তা (AI) বাংলাদেশে শিক্ষাকে উন্নত করবে না এমন ধারণার বিরুদ্ধে যুক্তি দিয়ে।,"**কৃত্রিম বুদ্ধিমত্তা (AI) বাংলাদেশের শিক্ষাকে উন্নত করবে না—এই ধারণার বিরুদ্ধে যুক্তি**<br><br>বর্তমান যুগে কৃত্রিম বুদ্ধিমত্তা (AI) বিশ্বব্যাপী শিক্ষাক্ষেত্রে এক বৈপ্লবিক পরিবর্তন আনছে। অনেকেই মনে করেন, AI বাংলাদেশের শিক্ষাব্যবস্থাকে উন্নত করতে পারবে না। এই ধারণা ভুল এবং অযৌক্তিক। নিচে কিছু যুক্তি তুলে ধরা হলো, যা প্রমাণ করে AI বাংলাদেশের শিক্ষাকে উন্নত করতে পারে এবং করবে।<br><br>**১. শিক্ষার সুযোগ ও সমতা বৃদ্ধি:**  <br>বাংলাদেশের প্রত্যন্ত অঞ্চলের অনেক শিক্ষার্থী মানসম্মত শিক্ষকের অভাবে পিছিয়ে পড়ে। AI-ভিত্তিক শিক্ষা প্ল্যাটফর্ম ও অ্যাপ্লিকেশন দেশের যেকোনো প্রান্তে শিক্ষার্থীদের কাছে মানসম্মত শিক্ষা পৌঁছে দিতে পারে। AI টিউটর বা চ্যাটবটের মাধ্যমে শিক্ষার্থীরা ২৪/৭ সহায়তা পেতে পারে, যা তাদের শেখার আগ্রহ ও দক্ষতা বাড়াবে।<br><br>**২. ব্যক্তিকৃত শিক্ষা (Personalized Learning):**  <br>প্রতিটি শিক্ষার্থীর শেখার ধরন ও গতি আলাদা। AI শিক্ষার্থীর দুর্বলতা ও শক্তি বিশ্লেষণ করে তার জন্য উপযুক্ত পাঠ্যক্রম ও অনুশীলন নির্ধারণ করতে পারে। এতে শিক্ষার্থীরা তাদের নিজস্ব গতিতে শিখতে পারবে এবং ফলাফল আরও ভালো হবে।<br><br>**৩. শিক্ষকদের সহায়তা ও দক্ষতা বৃদ্ধি:**  <br>AI শিক্ষকদের জন্য ক্লাস পরিকল্পনা, মূল্যায়ন, এবং শিক্ষার্থীদের অগ্রগতি বিশ্লেষণে সহায়তা করতে পারে। এতে শিক্ষকেরা আরও বেশি সময় শিক্ষার্থীদের মানসিক ও সৃজনশীল বিকাশে ব্যয় করতে পারবেন। AI শিক্ষকদের প্রশিক্ষণেও গুরুত্বপূর্ণ ভূমিকা রাখতে পারে।<br><br>**৪. প্রশাসনিক কাজ সহজীকরণ:**  <br>শিক্ষা প্রতিষ্ঠানের প্রশাসনিক কাজ যেমন উপস্থিতি, ফলাফল প্রস্তুতি, ভর্তি প্রক্রিয়া ইত্যাদি AI-এর মাধ্যমে স্বয়ংক্রিয়ভাবে করা সম্ভব। এতে সময় ও শ্রম বাঁচবে, এবং শিক্ষার মানোন্নয়নে আরও বেশি মনোযোগ দেয়া যাবে।<br><br>**৫. বৈশ্বিক মানের শিক্ষা:**  <br>AI-এর মাধ্যমে শিক্ষার্থীরা বিশ্বের সেরা শিক্ষাপ্রতিষ্ঠান ও শিক্ষকদের লেকচার, কোর্স ও রিসোর্স সহজেই পেতে পারে। এতে তারা আন্তর্জাতিক মানের শিক্ষা গ্রহণ করতে পারবে, যা বাংলাদেশের মানবসম্পদ উন্নয়নে গুরুত্বপূর্ণ ভূমিকা রাখবে।<br><br>**উপসংহার:**  <br>AI বাংলাদেশের শিক্ষাব্যবস্থাকে উন্নত করবে না—এমন ধারণা বাস্তবতার সঙ্গে সামঞ্জস্যপূর্ণ নয়। বরং, সঠিক পরিকল্পনা ও বাস্তবায়নের মাধ্যমে AI শিক্ষার গুণগত মান, সুযোগ ও সমতা বৃদ্ধি করতে পারে। তাই, আমাদের উচিত AI-কে ভয় না পেয়ে, এটিকে শিক্ষার উন্নয়নে কাজে লাগানো। AI-নির্ভর ভবিষ্যতের জন্য প্রস্তুত হওয়াই হবে বাংলাদেশের শিক্ষার অগ্রগতির চাবিকাঠি।","বংলাদেশে শিক্ষার উন্নয়নে কৃত্রিম বুদ্ধিমত্তা (AI) একটি অত্যন্ত গুরুত্বপূর্ণ ভূমিকা পালন করছে। তবে, এটি শিক্ষার মূল ধারণা বা মূল্যবোধকে বদলে দিতে পারে। নিচে AI-এর ভুল ধারণাগুলোকে বিতর্কিত করে একটি সংক্ষিপ্ত প্রবন্ধ দেওয়া হলো:

### **কৃত্রিম বুদ্ধিমত্তা: শিক্ষার বন্ধু নাকি শিক্ষার বন্ধু?**

কৃত্রিম বুদ্ধিমত্তা (AI) হলো একটি শক্তিশালী টুল যা ডেটা বিশ্লেষণ করে সিদ্ধান্ত নেয়। বর্তমানে বাংলাদেশে এটি শিক্ষার ক্ষেত্রে প্রচুর ব্যবহার হচ্ছে। তবে, অনেক শিক্ষার্থী এবং শিক্ষকরা AI-কে শিক্ষার মূল মূল্যবোধ বদলে দিচ্ছে। এটি একটি ""সুবিধাজনক টুল"" নয়, বরং একটি ""সম্মানহীন বন্ধু""।

#### **১. AI-"
facebook/belebele,spa_Latn,"Todos los años, cerca de octubre, aproximadamente 1,5 millones de herbívoros emigran hacia las tierras llanas del sur, atravesando el río Mara, desde las colinas del norte, en busca de las lluvias. Y después, regresan al norte por el oeste, nuevamente atravesando el río Mara, una vez concluidas las lluvias, cerca de abril. En la región de Serengeti se encuentra el Parque Nacional del Serengeti, la Zona de Conservación de Ngorongoro y la Reserva de Caza Maswa, todas ellas en Tanzania. En Kenia se localiza la Reserva Nacional Massai Mara.
De acuerdo con el texto, ¿desde qué zona parten los herbívoros cerca de abril?
1. La región de Serengueti
2. Las tierras llanas del sur
3. El río Mara
4. La Reserva Nacional Massai Mara",2: Las tierras llanas del sur,"Según el texto proporcionado, los herbívoros emigran desde las colinas del norte hacia las tierras llanas del sur cerca de octubre. El texto indica que, una vez concluidas las lluvias (cerca de abril), regresan al norte por el oeste atravesando el río Mara.

Por lo tanto, la zona de origen de estos herbívoros en abril es la región donde se encuentran las colinas del norte, que corresponde a la **Zona de Conservación de Ngorongoro** y el **Parque Nacional del Serengeti** (ambos en Tanzania).

La respuesta correcta es la **1. La región de Serengeti**."
CohereLabs/aya_dataset,zho_Hans,问题：最常见的鸟类是什么,答案：麻雀,"在地球上的所有鸟类中，**麻雀**（学名：*Passer domesticus*）通常被认为是**最常见**的鸟类。

以下是关于这一结论的几个关键事实：

1.  **分布广泛**：麻雀原产于欧亚大陆和非洲，如今已遍布全球，包括中国、美国、欧洲、澳大利亚等几乎所有有人居住或自然栖息地。
2.  **数量庞大**：它们是全球数量最多的鸟类物种之一。在北美，麻雀的数量甚至超过了人类总数；在中国，麻雀也是数量最多的鸟类。
3.  **繁殖力强**：它们繁殖速度快，繁殖期短，且能迅速适应各种环境（包括城市、农田甚至屋顶），这使得它们能够占据极多的生态位。
4.  **生态角色**：作为信天翁科鸟类，麻雀是重要的杂食性动物，在食物链中扮演着初级消费者的角色，对控制昆虫数量、传播种子和传播疾病等方面都有重要作用。

虽然像**鸽子**（家鸽）或**乌鸦**在某些特定地区或特定生态系统中可能因人类活动而显得非常显眼，但从全球物种分布广度和个体总数来看，麻雀无疑是当之无愧的“最常见”鸟类。"
facebook/belebele,deu_Latn,"""Peter Costello, australischer Schatzmeister und der Mann, der am ehesten die Nachfolge von Premierminister John Howard als Parteivorsitzender der Liberalen antreten wird, hat seine Unterstützung für eine Kernkraftindustrie in Australien zum Ausdruck gebracht. Herr Costello sagte, dass Australien die Nutzung von Atomenergie anstreben solle, sobald deren Erzeugung wirtschaftlich rentabel ist. """"""""""""Wenn es kommerziell verfügbar wird, sollten wir es haben. Ich meine, es gibt keine prinzipiellen Einwände gegen Atomenergie"""""""", sagte Herr Costello.""""""
Warum verfügt Australien nicht bereits über eine Kernkraftindustrie?
1. Fehlende öffentliche Unterstützung
2. Zu kontrovers
3. Zu gefährlich
4. Zu teuer",4: Zu teuer,"Die richtige Antwort ist **2. Zu kontrovers**.

Hier ist die Begründung:

Peter Costello, der australische Schatzmeister, hat zwar öffentlich Unterstützung für eine Kernkraftindustrie ausgedrückt, aber die Umsetzung hängt stark von der politischen und gesellschaftlichen Akzeptanz ab. In Australien ist die Nutzung von Atomenergie ein extrem umstrittenes Thema.

*   **Kontroversität:** Die Kernkraftindustrie in Australien ist historisch gesehen stark kontrovers. Die meisten Bürger lehnen die Kernenergie ab, da sie Angst vor Radioaktivität, Unfälle (wie bei Fukushima oder Chernobyl) und den Verlust von Arbeitsplätzen haben.
*   **Politische Hürden:** Um eine Kernkraftanlage zu bauen, benötigt man nicht nur finanzielle Mittel, sondern auch breite öffentliche Unterstützung und die Zustimmung der Bevölkerung sowie der Opposition. Ohne diese breite Zustimmung scheitert ein Projekt oft schon in der ersten Phase.
*   **Die anderen Optionen:**
    *   *Fehlende öffentliche Unterstützung* ist zwar ein Problem, aber die *Grundursache* für diese Unterstützung fehlt gerade nicht; es ist vielmehr das Gegenteil, das die Projekte blockiert.
    *   *Zu gefährlich"
facebook/belebele,rus_Cyrl,"""Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража. Он сказал, что создал дверной звонок, работающий от WiFi. Симинофф сказал, что продажи выросли после его появления в выпуске шоу """"Shark Tank"""" в 2013 году, где члены жюри отказались финансировать его стартап. В конце 2017 года Симинофф появился на торговом телеканале QVC. Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.""
Когда компания Ring увеличила продажи?
1. После появления в шоу Shark Tank
2. После получения финансирования в 2013 году
3. После появления на канале QVC
4. После урегулирования судебного процесса с фирмой ADT",1: После появления в шоу Shark Tank,"Согласно тексту, продажи компании Ring выросли **после появления в выпуске шоу ""Shark Tank"" в 2013 году**.

В тексте прямо указано: «Продажи выросли после его появления в выпуске шоу """"Shark Tank"""" в 2013 году». Хотя компания также получила финансирование в этот период и позже вышла на телеканал QVC, именно появление на шоу привело к росту продаж.

Правильный ответ: **1. После появления в шоу Shark Tank**"
facebook/belebele,pes_Arab,"آلمان دشمن مشترکی در جنگ جهانی دوم بود که منجر به اتحاد بین شوروی و ایالات متحده شد. با پایان جنگ، اختلاف در سیستم، پروسه و فرهنگ منجر به جدایی این کشورها شد. با توجه به دو سال آخر جنگ، حالا متحدان سابق دشمن شده بودند و جنگ سرد آغاز شد. این برای آن بود که برای 40 سال آینده دوام داشته باشد و با ارتش‌های نیابتی، در جبهه‌های نبردی از آفریقا تا آسیا، در افغانستان، کوبا و بسیاری از مناطق دیگر به صورت حقیقی بجنگد.
با توجه به متن، کدام یک از موارد زیر بر روابط بین اتحاد جماهیر شوروی و ایالات متحده تأثیری نداشت؟
1. تفاوت‌های فرهنگی
2. دیدگاه‌ها درباره آلمان
3. اختلاف در پروسه‌ها
4. اختلاف در سیستم‌ها",2: دیدگاه‌ها درباره آلمان,"بر اساس متن ارائه‌شده، باید به بخش «با پایان جنگ، اختلاف در سیستم، پروسه و فرهنگ منجر به جدایی این کشورها شد» توجه کرد.

متن به صراحت اشاره می‌کند که دلایل جدایی و آغاز جنگ سرد شامل موارد زیر بود:
1.  **تفاوت‌های فرهنگی**
2.  **اختلاف در سیستم‌ها**
3.  **اختلاف در پروسه‌ها**

در حالی که متن به طور خاص به «تفاوت‌های فرهنگی» اشاره کرده است، اما در بخش اول جمله می‌گوید: «آلمان دشمن مشترکی در جنگ جهانی دوم بود که منجر به اتحاد بین شوروی و ایالات متحده شد.» این جمله نشان می‌دهد که **دیدگاه‌ها درباره آلمان** (یا سیاست‌های مشترک در جنگ) عامل اصلی ایجاد اتحاد بود، نه عامل جدایی. بنابراین، این مورد در متن به عنوان یک دلیل برای جدایی یا تأثیر منفی بر روابط ذکر نشده است.

پاسخ صحیح گزینه 2 است.

**پاسخ نهایی:**
**2. دیدگاه‌ها درباره آلمان**"
copenlu/answerable_tydiqa,rus_Cyrl,"Родом из Нижней Лужицы был Ян Бок (ум. 1621), владевший семью языками, в том числе нижнелужицким (который он называл «сарматским» языком). Бок писал стихотворения на латыни и немецком языке, а также исторические сочинения о венграх и турках. В стихотворении 1612 года Бок воспевал родную землю «Лужицу-мать»[4]. Хандрош Тара (ум. ок. 1638) в 1610 году во Франкфурте-на-Майне опубликовал «Малый катехизис» Лютера на западно-нижнелужицком сторковском диалекте. Среди других его рукописей: «Словарь лужицкого языка в Буххольце и окрестностях», грамматика лужицкого языка, «Лужицкие проповеди» (не сохранились). В 1627 году верхнелужицкий священнослужитель Грегор Мартини опубликовал книгу «Семь покаянных псалмов царственного пророка Давида. По-лужицки и по-немецки». В 1650 году священником Яном Хойнаном была подготовлена к печати первая грамматика нижнелужицкого языка с нижнелужицко-латинским словарём «Linguae Vandalicae ad dialectum Cotbisiani formandae aliquis Conatus». Приблизительно в это же время Юро Эрмель выпустил первый букварь на нижнелужицком языке «ABC — Kniglicki» (в 1669 году букварь оказался под запретом и был изъят немецкими властями). В 1654 году священником Адамом Тило была издана книга на нижнелужицком языке «Catechismus und Glaubens Articul» (в 1667 году запрещена и уничтожена немецкими властями). В 1653—1656 годах священниками «вендского округа» были изданы четыре книги на нижнелужицком языке: Катехизис, Псалтырь, Сборник отрывков из Библии и Сборник церковных песнопений. В 1679 году Якубом Ксавером Тицианом в Праге была издана грамматика верхнелужицкого языка «Principia linguae Wendicae», ставшая основой для верхнелужицкого католического литературного языка[4].

Когда была написана первая грамматика Нижнелу́жицкого язы́ка?",1650,"Согласно тексту, первая грамматика нижнелужицкого языка была подготовлена к печати в **1650 году** священником Яном Хойнаном.

В тексте также упоминается, что в 1653–1656 годах были изданы четыре книги на нижнелужицком языке (включая Катехизис), но именно 1650 год указан как год подготовки первой грамматической работы."
